,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,M7_16,M7_17,M7_18,M7_19,M7_20,M7_21,M7_22,Mb6_16,Mb6_17,Mb6_18,Mb6_19,Mb6_20,Mb6_21,Mb6_22
213,213,346.0,65,0,54,0,46,11,6,8,0,54,0,46,11,6,5,0.0,0.051474072,0.0,0.07537462,0.00895968,-0.004595367,0.0037746544,0.0,0.08050484,0.0,0.08572033,0.0062439055,-0.0082463175,0.004257721
214,214,348.0,52,7,44,0,2,2,0,4,7,44,0,2,2,0,1,0.006911819,0.044231817,0.0,0.0019541134,-0.0019906778,0.0,0.00065711036,0.008840803,0.07454068,0.0,0.0027120363,-0.0023654427,0.0,0.00070326193
215,215,351.0,82,4,11,0,75,10,58,46,4,11,0,75,10,58,46,-0.0022302496,0.0072142244,0.0,0.117623396,0.0043243878,-0.09045142,0.04219922,-0.003393052,0.010779985,0.0,0.13655235,0.0034049195,-0.072300404,0.06447592
216,216,867.0,108,0,0,0,9,0,0,107,0,0,0,9,0,0,107,0.0,0.0,0.0,0.0030360345,0.0,0.0,0.060617417,0.0,0.0,0.0,0.0039812317,0.0,0.0,0.093467996
217,217,893.0,36,0,19,26,2,0,4,1,0,19,26,2,0,4,0,0.0,0.04764516,0.095607646,0.0034482332,0.0,-0.0048280074,0.0,0.0,0.071275234,0.11308853,0.00307432,0.0,-0.003546329,0.0
218,218,899.0,155,19,51,23,4,3,8,98,19,51,23,4,3,8,14,0.009275796,0.025528293,0.018776182,-0.001819205,-0.0015195495,-0.0042049666,-0.0048287436,0.013153168,0.03647816,0.024561591,-0.002383694,-0.002078454,-0.005557348,-0.006853652
219,219,387.0,104,0,30,85,20,51,15,20,0,30,85,20,51,15,20,0.0,0.015281118,0.14518791,-0.020227227,0.060462333,0.009475658,-0.00079126906,0.0,0.018168362,0.16359685,-0.025683109,0.07639436,0.01036109,-0.0015542711
220,220,388.0,45,0,2,44,1,20,6,2,0,2,44,1,20,6,2,0.0,0.0025193773,0.17730246,-0.0010937861,0.06143443,0.009435227,-0.00064100773,0.0,0.0033108806,0.23173484,-0.0018551694,0.083140485,0.012072878,-0.0001126647
221,221,392.0,85,0,0,0,7,74,0,4,0,0,0,7,74,0,0,0.0,0.0,0.0,0.0051987525,0.058227696,0.0,0.0,0.0,0.0,0.0,0.008145382,0.09456557,0.0,0.0
222,222,905.0,49,0,0,3,40,18,8,23,0,0,3,40,18,8,20,0.0,0.0,0.0018225155,0.047558703,0.020299193,0.0075308154,0.011926723,0.0,0.0,0.0027981987,0.06709964,0.02967776,0.01468037,0.011520507
